"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"MLOC",3.0,9.0,9.114880854108195,4.0,0.0,379.0,379.0,16.554939505327045,18.0,30.0
"CYCLO",1.0,2.0,2.072808320950966,1.0,1.0,115.0,114.0,3.2697390358524325,3.5,10.0
"CALLS",0.0,3.0,3.4792526553299212,1.0,0.0,262.0,262.0,8.248870052850378,7.5,5.0
"NBD",1.0,4.0,2.76242364206703,2.0,0.0,13.0,13.0,2.2929161015358637,8.5,3.0
"PARAM",0.0,1.0,1.0301579439766662,1.0,0.0,18.0,18.0,1.3519721142035759,2.5,4.0
