"method","loc","cyclo","calls","nbd","param"
"org.jkiss.dbeaver.model.navigator.DBNDatabaseNode.loadTreeItems(DBRProgressMonitor monitor, DBXTreeItem meta, final DBNDatabaseNode[] oldList, final List<DBNDatabaseNode> toList, Object source, boolean showSystem, boolean hideFolders, boolean mergeEntities, boolean reflect)",146,37,36,6,9
"org.jkiss.dbeaver.model.sql.parser.SQLRuleManager.loadRules(@Nullable DBPDataSource dataSource, boolean minimalRules)",171,37,60,4,2
"org.jkiss.dbeaver.model.impl.edit.AbstractCommandContext.getCommandQueues()",129,36,33,10,0
"org.jkiss.dbeaver.ext.generic.model.meta.GenericMetaModel.loadSchemas(JDBCSession session, GenericDataSource dataSource, GenericCatalog catalog)",158,36,70,8,3
"org.jkiss.dbeaver.registry.DataSourceSerializerModern.saveDataSource(@NotNull JsonWriter json, @NotNull DataSourceDescriptor dataSource)",180,36,168,7,2
"org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer.extractTableName(@Nullable String tableAlias, boolean allowPartialMatch)",114,36,40,7,2
"org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid.onPaint(@NotNull PaintEvent e)",254,36,58,6,1
"org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCContentValueHandler.getValueFromObject(@NotNull DBCSession session, @NotNull DBSTypedObject type, Object object, boolean copy, boolean validateValue)",107,36,51,4,5
"org.jkiss.dbeaver.ext.vertica.VerticaUtils.resolveValueType(@NotNull String typeName)",63,36,4,4,1
"org.jkiss.dbeaver.ext.vertica.model.VerticaDataSource.resolveDataKind(@NotNull String typeName, int valueType)",56,36,4,1,2
"org.jkiss.dbeaver.erd.ui.model.DiagramLoader.serializeDiagram(DBRProgressMonitor monitor, @Nullable DiagramPart diagramPart, final EntityDiagram diagram, boolean verbose, boolean compact)",208,35,127,8,5
"org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer.makeDataSourceProposals()",120,35,49,7,0
"org.jkiss.dbeaver.model.sql.SQLQuery.parseQuery()",88,35,30,6,0
"org.jkiss.dbeaver.model.impl.sql.AbstractSQLDialect.getColumnTypeModifiers(@NotNull DBPDataSource dataSource, @NotNull DBSTypedObject column, @NotNull String typeName, @NotNull DBPDataKind dataKind)",68,35,33,5,4
"org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource.getDataKind(@NotNull String typeName, int valueType)",57,35,3,5,2
"org.jkiss.dbeaver.registry.DataSourceProviderRegistry.loadExtensions(IExtensionRegistry registry)",153,35,68,4,1
"org.jkiss.dbeaver.ext.mssql.model.SQLServerDataType.getDataTypeIDByName(String systemTypeName)",71,35,0,3,1
"org.jkiss.dbeaver.ext.mssql.model.SQLServerDataType.getDataKindByName(String systemTypeName)",59,35,0,3,1
"org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferProducer.transferData(@NotNull DBRProgressMonitor monitor1, @NotNull IDataTransferConsumer consumer, @Nullable IDataTransferProcessor processor, @NotNull DatabaseProducerSettings settings, @Nullable DBTTask task)",143,34,62,8,5
"org.jkiss.dbeaver.ext.mysql.model.MySQLTable.loadForeignKeys(DBRProgressMonitor monitor, boolean references)",145,34,65,7,2
"org.jkiss.dbeaver.ui.editors.xml.XMLReconcilingStrategy.classifyTag()",131,34,16,5,0
"org.jkiss.dbeaver.ui.app.standalone.DBeaverSettingsImporter.copyWorkspaceFiles(DBRProgressMonitor monitor, DIR_TYPE parentDirType, File fromDir, File toDir)",119,34,47,5,4
