"method","loc","cyclo","calls","nbd","param"
"org.jkiss.dbeaver.tools.transfer.database.DatabaseMappingContainer.getTargetName()",42,14,12,6,0
"org.jkiss.dbeaver.tools.transfer.database.DatabaseMappingContainer.loadSettings(DBRRunnableContext context, Map<String,Object> settings)",41,14,16,6,2
"org.jkiss.dbeaver.model.DBUtils.compareDataValues(Object cell1, Object cell2)",39,14,17,6,2
"org.jkiss.dbeaver.tools.transfer.stream.StreamTransferConsumer.finishTransfer(DBRProgressMonitor monitor, boolean last)",35,14,22,6,2
"org.jkiss.dbeaver.ui.navigator.NavigatorUtils.addSetDefaultObjectAction(IWorkbenchSite workbenchSite, IMenuManager manager, DBNNode selectedNode)",24,14,14,6,3
"org.jkiss.dbeaver.ui.dialogs.driver.DriverEditDialog.createMainTab(TabFolder group)",145,14,104,5,1
"org.jkiss.dbeaver.ext.postgresql.ui.editors.PostgresRolePrivilegesEditor.updateCurrentPrivileges(boolean grant, PostgrePrivilegeType privilegeType)",99,14,29,5,2
"org.jkiss.dbeaver.ui.editors.sql.indent.SQLCommentAutoIndentStrategy.commentWrapParagraphFromLine(IDocument document, int line, int[] caretOffset, boolean always)",68,14,28,5,4
"org.jkiss.dbeaver.erd.ui.command.EntityAddCommand.execute()",64,14,27,5,0
"org.jkiss.dbeaver.ui.data.editors.BaseValueEditor.initInlineControl(final Control inlineControl)",60,14,27,5,1
"org.jkiss.dbeaver.ext.postgresql.tools.PostgreBackupWizardPageObjects.loadSettings()",58,14,35,5,0
"org.jkiss.dbeaver.ext.oracle.ui.tools.sqldeveloper.ConfigImportWizardPageSqlDeveloper.parseConnections(File connectionsFile, ImportData importData)",51,14,35,5,2
"org.jkiss.dbeaver.runtime.properties.ObjectPropertyDescriptor.readValue(Object object, @Nullable DBRProgressMonitor progressMonitor, boolean formatValue)",47,14,15,5,3
"org.jkiss.utils.time.ExtendedDateFormat.ExtendedDateFormat(String pattern, Locale locale)",47,14,13,5,2
"org.jkiss.dbeaver.tools.transfer.ui.wizard.DataTransferWizard.loadSettings()",45,14,29,5,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaMetaModel.prepareTableLoadStatement(@NotNull JDBCSession session, @NotNull GenericStructContainer owner, GenericTableBase table, String tableName)",37,14,20,5,4
"org.jkiss.dbeaver.ui.controls.PropertyPageStandard.getPropertySource(Object object)",34,14,6,5,1
"org.jkiss.dbeaver.ui.editors.object.struct.AttributesSelectorPage.handleItemSelect(TableItem item, boolean notify)",33,14,13,5,2
"org.jkiss.dbeaver.ui.dialogs.driver.DriverEditDialog.loadSettings(boolean original)",25,14,47,5,1
"org.jkiss.dbeaver.ui.data.editors.ReferenceValueEditor.createEditorSelector(final Composite parent)",159,14,65,4,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCColumnMetaData.JDBCColumnMetaData(DBPDataSource dataSource, ResultSetMetaData resultSetMeta, int ordinalPosition)",115,14,49,4,3
"org.jkiss.dbeaver.ui.controls.resultset.virtual.EditVirtualAttributePage.createPageContents(Composite parent)",92,14,61,4,1
"org.jkiss.dbeaver.ui.data.editors.ReferenceValueEditor$SelectorLoaderService.readEnum(DBRProgressMonitor monitor)",84,14,22,4,1
"org.jkiss.dbeaver.ext.ui.svg.GraphicsToGraphics2DAdaptor.createStroke()",69,14,0,4,0
"org.jkiss.dbeaver.model.impl.sql.edit.struct.SQLForeignKeyManager.getNestedDeclarationScript(TABLE_TYPE owner, DBECommandAbstract<OBJECT_TYPE> command, Map<String,Object> options)",62,14,40,4,3
"org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCDateTimeValueHandler.fetchValueObject(@NotNull DBCSession session, @NotNull DBCResultSet resultSet, @NotNull DBSTypedObject type, int index)",62,14,26,4,4
"org.jkiss.dbeaver.ui.editors.text.handlers.ToggleSingleLineCommentHandler.processAction(ISelectionProvider selectionProvider, ICommentsSupport commentsSupport, IDocument document, ITextSelection textSelection)",62,14,26,4,4
"org.jkiss.dbeaver.tasks.ui.view.TaskHandlerDelete.execute(ExecutionEvent event)",62,14,26,4,1
"org.jkiss.dbeaver.model.impl.jdbc.JDBCURL.generateUrlByTemplate(String urlTemplate, DBPConnectionConfiguration connectionInfo)",48,14,57,4,2
"org.jkiss.dbeaver.model.impl.jdbc.JDBCUtils.appendFilterClause(StringBuilder sql, DBSObjectFilter filter, String columnAlias, boolean firstClause)",45,14,26,4,4
"org.jkiss.dbeaver.ui.controls.resultset.plaintext.PlainTextPresentation.getCellString(ResultSetModel model, DBDAttributeBinding attr, ResultSetRow row, DBDDisplayFormat displayFormat)",40,14,13,4,4
"org.jkiss.dbeaver.erd.model.DiagramObjectCollector.collectTables(DBRProgressMonitor monitor, DBSObjectContainer container, Set<DBSEntity> tables, boolean showViews, boolean showPartitions)",39,14,15,4,5
"org.jkiss.dbeaver.model.sql.parser.rules.SQLWordRule.isWordPart(char c, char prevC, TPCharacterScanner scanner)",39,14,7,4,3
"org.jkiss.dbeaver.model.sql.parser.rules.NestedMultiLineRule.endSequenceDetected(TPCharacterScanner scanner)",39,14,5,4,1
"org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCNumberValueHandler.getValueDisplayString(@NotNull DBSTypedObject column, @Nullable Object value, @NotNull DBDDisplayFormat format)",34,14,11,4,3
"org.jkiss.dbeaver.model.sql.format.tokenized.SQLFormatterTokenized.concatenateDoublewordedKeywords(List<FormatterToken> argList)",26,14,29,4,1
"org.jkiss.dbeaver.ui.dialogs.connection.AuthModelSelector.showAuthModelSettings()",87,14,43,3,0
"org.jkiss.dbeaver.registry.maven.versioning.DefaultArtifactVersion.parseVersion(String version)",69,14,22,3,1
"org.jkiss.dbeaver.ext.oracle.OracleDataSourceProvider.getConnectionURL(DBPDriver driver, DBPConnectionConfiguration connectionInfo)",63,14,40,3,2
"org.jkiss.dbeaver.ui.navigator.database.DatabaseNavigatorLabelProvider.getToolTipText(Object element)",50,14,45,3,1
"org.jkiss.dbeaver.ext.snowflake.views.SnowflakeConnectionPage.loadSettings()",48,14,40,3,0
"org.jkiss.dbeaver.model.sql.parser.rules.SQLMultiWordRule.evaluate(TPCharacterScanner scanner)",43,14,13,3,1
"org.jkiss.utils.CommonUtils.escapeFileName(@Nullable String str)",16,14,7,3,1
"org.jkiss.dbeaver.ext.db2.ui.tools.maintenance.DB2ReorgTableDialog.generateObjectCommand(List<String> lines, DB2Table db2Table)",46,14,31,2,2
"org.jkiss.dbeaver.ui.controls.resultset.AbstractPresentation.scrollToRow(@NotNull RowPosition position)",43,14,26,2,1
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetCellEditor.layout()",32,14,17,2,0
"org.jkiss.dbeaver.ext.postgresql.edit.PostgreRoleManager.addRoleOptions(StringBuilder script, PostgreRole role, NestedObjectCommand command, boolean create)",29,14,35,1,4
"org.jkiss.dbeaver.ui.navigator.itemlist.ObjectListControl.addClipboardData(CopyMode mode, ClipboardData clipboardData)",56,13,28,9,2
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer.fillAttributeTransformersMenu(IMenuManager manager, final DBDAttributeBinding attr)",98,13,31,8,2
"org.jkiss.dbeaver.model.impl.jdbc.cache.JDBCObjectCache.loadObjects(DBRProgressMonitor monitor, OWNER owner)",74,13,29,8,2
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer.activatePanel(String id, boolean setActive, boolean showPanels)",72,13,34,8,3
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer.navigateAssociation(@NotNull DBRProgressMonitor monitor, @NotNull ResultSetModel bindingsModel, @NotNull DBSEntityAssociation association, @NotNull List<ResultSetRow> rows, boolean newWindow)",68,13,34,8,5
"org.jkiss.dbeaver.ui.editors.sql.SQLEditor.processSQL(boolean newTab, boolean script, SQLQueryTransformer transformer, @Nullable SQLQueryListener queryListener)",66,13,29,8,4
"org.jkiss.dbeaver.ext.oracle.oci.OCIUtils.findOraHomes()",61,13,27,8,0
"org.jkiss.dbeaver.ui.controls.resultset.DataFilterRegistry$ConfigSaver.flushConfig()",58,13,56,8,0
"org.jkiss.dbeaver.ui.editors.sql.SQLEditor.getPlanView(SQLQuery sqlQuery, DBCQueryPlanner planner)",53,13,25,8,2
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetPersister.prepareUpdateStatements(@NotNull DBRProgressMonitor monitor)",52,13,17,8,1
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer.fillLayoutMenu(IMenuManager layoutMenu)",46,13,26,8,1
"org.jkiss.dbeaver.ui.editors.sql.SQLEditor.getAdapter(Class<T> required)",31,13,8,8,1
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetPersister.reflectChanges()",31,13,5,8,0
"org.jkiss.dbeaver.model.sql.parser.rules.SQLDollarQuoteRule.evaluate(TPCharacterScanner scanner, boolean resume)",74,13,8,7,2
"org.jkiss.dbeaver.ext.generic.model.GenericExecutionContext.initDefaultsFrom(DBRProgressMonitor monitor, GenericExecutionContext context)",50,13,25,7,2
"org.jkiss.dbeaver.registry.maven.MavenArtifactVersion.loadPOM(DBRProgressMonitor monitor, boolean resolveOptionalDependencies)",84,13,45,6,2
"org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid.getRowRange(int startIndex, int availableHeight, boolean forceEndCompletelyInside, boolean inverse)",75,13,7,6,4
"org.jkiss.dbeaver.ext.ui.svg.ERDExportSVG.paintDiagram(Graphics g, IFigure figure)",74,13,23,6,2
"org.jkiss.dbeaver.ext.mssql.model.generic.SQLServerMetaModel.loadSchemas(JDBCSession session, GenericDataSource dataSource, GenericCatalog catalog)",67,13,22,6,3
"org.jkiss.dbeaver.model.impl.data.transformers.MapAttributeTransformer.createNestedMapBindings(DBCSession session, DBDAttributeBinding topAttribute, List<Pair<DBSAttributeBase,Object[]>> nestedAttributes, List<Object[]> rows)",58,13,29,6,4
"org.jkiss.dbeaver.ext.generic.model.GenericObjectContainer.cacheStructure(@NotNull DBRProgressMonitor monitor, int scope)",58,13,23,6,2
"org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid.getOrigin(GridColumn column, int item)",53,13,12,6,2
"org.jkiss.dbeaver.model.impl.data.transformers.MapAttributeTransformer.resolveMapsFromData(DBCSession session, DBDAttributeBinding attribute, List<Object[]> rows)",49,13,17,6,3
"org.jkiss.dbeaver.model.impl.sql.edit.struct.SQLTableColumnManager.getDependentObjectsList(DBRProgressMonitor monitor, DBSObject object)",41,13,13,6,2
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerObjectCreateCopy.copyResource(@NotNull DBRProgressMonitor monitor, @NotNull IResource resource, @NotNull IContainer targetFolder)",39,13,24,6,3
"org.jkiss.dbeaver.registry.driver.DriverClassLoader.findLibrary(String libname)",29,13,19,6,1
"org.jkiss.dbeaver.model.virtual.DBVEntity.DBVEntity(@NotNull DBVContainer container, @NotNull String name, @NotNull Map<String,Object> map)",71,13,44,5,3
"org.jkiss.dbeaver.data.office.export.DataExporterXLSX.exportRow(DBCSession session, DBCResultSet resultSet, Object[] row)",69,13,33,5,3
"org.jkiss.dbeaver.ui.editors.sql.indent.SQLCommentAutoIndentStrategy.commentWrapParagraphOnInsert(IDocument document, DocumentCommand command)",68,13,30,5,2
"org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferConsumer.fetchRow(DBCSession session, DBCResultSet resultSet)",63,13,15,5,2
"org.jkiss.dbeaver.ext.postgresql.model.PostgreExecutionContext.refreshDefaults(DBRProgressMonitor monitor, boolean useBootstrapSettings)",60,13,30,5,2
"org.jkiss.dbeaver.model.sql.parser.SQLSemanticProcessor.patchSelectQuery(DBRProgressMonitor monitor, DBPDataSource dataSource, PlainSelect select, DBDDataFilter filter)",59,13,34,5,4
"org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseConsumerPageMapping.setMappingTarget(DatabaseMappingObject mapping, String name, boolean forceRefresh)",55,13,40,5,3
"org.jkiss.dbeaver.ui.editors.sql.SQLMatchingCharacterPainter.handleDrawRequest(GC gc)",52,13,19,5,1
"org.jkiss.dbeaver.ui.editors.DatabaseEditorAdapterFactory.getAdapter(Object adaptableObject, Class<T> adapterType)",52,13,15,5,2
"org.jkiss.dbeaver.tools.transfer.database.DatabaseMappingAttribute.loadSettings(Map<String,Object> settings)",45,13,26,5,1
"org.jkiss.dbeaver.registry.ResourceHandlerDescriptor.canHandle(IResource resource)",34,13,12,5,1
"org.jkiss.dbeaver.tools.transfer.ui.wizard.DataTransferWizard.isPageValid(IWizardPage page, DataTransferNodeDescriptor node)",21,13,17,5,2
"org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource.getStandardSQLDataTypeName(@NotNull DBPDataKind dataKind)",17,13,0,5,1
"org.jkiss.dbeaver.tools.scripts.ScriptsImportWizard.importScripts(DBRProgressMonitor monitor, ScriptsImportData importData)",72,13,45,4,2
"org.jkiss.dbeaver.model.impl.jdbc.struct.JDBCTableColumn.getValueEnumeration(@NotNull DBCSession session, @Nullable Object valuePattern, int maxResults, boolean calcCount, boolean formatValues, boolean caseInsensitiveSearch)",71,13,39,4,6
"org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageGeneral.activatePage()",61,13,42,4,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaStructureAssistant.findConstraintsByMask(JDBCSession session, GenericSchema parentSchema, @NotNull ObjectsSearchParams params, List<DBSObjectReference> result)",59,13,24,4,4
"org.jkiss.dbeaver.model.impl.jdbc.JDBCURL.parseSampleURL(String sampleURL)",54,13,16,4,1
"org.jkiss.dbeaver.ui.editors.binary.BinaryContent.overwrite(byte source, int offset, int length, long position)",50,13,11,4,4
"org.jkiss.dbeaver.ext.mysql.model.plan.MySQLPlanClassic.convertToPlanTree(List<MySQLPlanNodePlain> srcNodes)",49,13,19,4,1
"org.jkiss.dbeaver.ext.postgresql.ui.PostgreConnectionPage.loadSettings()",45,13,33,4,0
"org.jkiss.dbeaver.ext.postgresql.model.data.PostgreArrayValueHandler.getValueFromObject(@NotNull DBCSession session, @NotNull DBSTypedObject type, Object object, boolean copy, boolean validateValue)",43,13,23,4,5
"org.jkiss.dbeaver.model.sql.format.tokenized.SQLFormatterTokenized.trimSpacesBetweenBraces(List<FormatterToken> argList)",41,13,53,4,1
"org.jkiss.dbeaver.ext.postgresql.model.data.PostgreArrayValueHandler.convertArrayToString(@NotNull DBSTypedObject column, Object value, @NotNull DBDDisplayFormat format, boolean nested)",41,13,23,4,4
"org.jkiss.dbeaver.model.sql.parser.rules.ScriptVariableRule.evaluate(TPCharacterScanner scanner)",40,13,11,4,1
"org.jkiss.dbeaver.registry.DataSourceProviderRegistry.findDriver(@NotNull String driverIdOrName)",39,13,10,4,1
"org.jkiss.dbeaver.ui.editors.binary.BinaryContent.get(ByteBuffer dst, List<Long> rangesModified, long position)",38,13,17,4,3
"org.jkiss.dbeaver.ui.editors.binary.BinaryContent.updateChanges(long position, boolean insert)",37,13,12,4,2
"org.jkiss.dbeaver.ui.editors.binary.BinaryContent.delete(long position, long length)",36,13,13,4,2
"org.jkiss.dbeaver.model.impl.data.formatters.NumberDataFormatter.parseValue(String value, @Nullable Class<?> typeHint)",36,13,8,4,2
"org.jkiss.dbeaver.ext.mssql.SQLServerUtils.getTableFromQuery(DBCSession session, SQLQuery sqlQuery, SQLServerDataSource dataSource)",30,13,11,4,3
"org.jkiss.dbeaver.model.sql.format.tokenized.SQLFormatterTokenized.isEmbeddedToken(FormatterToken token)",18,13,1,4,1
"org.jkiss.dbeaver.ext.exasol.tools.ExasolUtils.generateDDLforTable(DBRProgressMonitor monitor, ExasolDataSource dataSource, ExasolTable exasolTable)",95,13,66,3,3
"org.jkiss.dbeaver.ui.editors.sql.syntax.SQLCompletionProcessor.computeCompletionProposals(ITextViewer viewer, int documentOffset)",76,13,29,3,2
"org.jkiss.dbeaver.registry.maven.versioning.ComparableVersion.parseVersion(String version)",69,13,32,3,1
"org.jkiss.utils.xml.XMLBuilder.startElement(String nsURI, String nsPrefix, String elementName)",55,13,10,3,3
"org.jkiss.dbeaver.model.sql.registry.SQLDialectDescriptor.SQLDialectDescriptor(IConfigurationElement config)",50,13,23,3,1
"org.jkiss.dbeaver.ui.controls.resultset.generator.SQLGeneratorUpdateFromData.generateSQL(DBRProgressMonitor monitor, StringBuilder sql, IResultSetController object)",49,13,36,3,3
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseBackupHandler.fillProcessParameters(PostgreDatabaseBackupSettings settings, PostgreDatabaseBackupInfo arg, List<String> cmd)",42,13,39,3,3
"org.jkiss.dbeaver.ext.generic.views.GenericConnectionPage.isComplete()",21,13,16,3,0
"org.jkiss.dbeaver.ui.editors.text.handlers.ToggleMultiLineCommentHandler.processAction(ISelectionProvider selectionProvider, ICommentsSupport commentsSupport, IDocument document, ITextSelection selection)",58,13,57,2,4
"org.jkiss.dbeaver.ext.bigquery.ui.views.BigQueryConnectionPage.loadSettings()",45,13,32,2,0
"org.jkiss.dbeaver.ui.editors.text.TextEditorPropertyTester.test(Object receiver, String property, Object[] args, Object expectedValue)",31,13,15,1,4
"org.jkiss.dbeaver.model.sql.parser.SQLScriptParser.extractNextQuery(SQLParserContext context, int offset, boolean next)",46,12,15,11,3
"org.jkiss.dbeaver.ui.search.metadata.SearchMetadataPage.createControl(Composite parent)",198,12,69,10,1
"org.jkiss.dbeaver.ui.navigator.itemlist.ObjectListControl$ObjectColumnLabelProvider.getText(Object element, boolean forUI, boolean forTip)",30,12,8,9,3
"org.jkiss.dbeaver.ui.editors.sql.SQLEditor.createPartControl(Composite parent)",125,12,45,8,1
"org.jkiss.dbeaver.ui.editors.sql.QueryProcessor.processQueries(SQLScriptContext scriptContext, final List<SQLScriptElement> queries, boolean forceScript, final boolean fetchResults, boolean export, boolean closeTabOnError, SQLQueryListener queryListener)",87,12,30,8,7
"org.jkiss.dbeaver.ui.editors.sql.SQLEditor.setDataSourceContainer(@Nullable DBPDataSourceContainer container)",69,12,31,8,1
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetPersister.prepareDeleteCascade(@NotNull DBRProgressMonitor monitor, DBDRowIdentifier rowIdentifier, List<DataStatementInfo> statements, boolean deepCascade)",55,12,15,8,4
"org.jkiss.dbeaver.erd.ui.action.ERDHandlerDelete.execute(ExecutionEvent event)",40,12,16,8,1
"org.jkiss.dbeaver.ext.generic.model.meta.GenericMetaModel.createTableImpl(@NotNull JDBCSession session, @NotNull GenericStructContainer owner, @NotNull GenericMetaObject tableObject, @NotNull JDBCResultSet dbResult)",38,12,19,8,4
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer.getAdapter(Class<T> adapter)",36,12,11,8,1
"org.jkiss.dbeaver.erd.ui.model.DiagramLoader.saveColorAndOrder(List allNodeFigures, XMLBuilder xml, NodePart nodePart)",29,12,28,8,3
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer.setCurrentRow(@Nullable ResultSetRow newRow)",26,12,7,8,1
"org.jkiss.dbeaver.ui.dashboard.view.DashboardUpdater.fetchDashboardMapData(DBRProgressMonitor monitor, DashboardContainer dashboard)",73,12,23,7,2
"org.jkiss.dbeaver.runtime.jobs.DataSourceMonitorJob.checkDataSourceAlive(final DBPDataSourceContainer dataSourceDescriptor)",68,12,17,7,1
"org.jkiss.dbeaver.ui.properties.PropertyTreeViewer.registerContextMenu()",64,12,27,7,0
"org.jkiss.dbeaver.ext.exasol.sql.ExasolSquareBracketsRule.evaluate(TPCharacterScanner scanner, boolean resume)",57,12,8,7,2
"org.jkiss.dbeaver.model.impl.data.ExecuteBatchImpl.formatQueryParameters(DBCSession session, String queryString, DBDValueHandler[] handlers, Object[] rowValues)",53,12,14,7,4
"org.jkiss.dbeaver.tasks.ui.DataSourceToolsContributor.fillContributionItems(List<IContributionItem> menuItems)",51,12,25,7,1
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerSetDefaultObject.markObjectAsActive(final DBNDatabaseNode databaseNode, IEditorPart activeEditor)",51,12,16,7,2
"org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer.makeProposalsFromQueryParts()",46,12,26,7,0
"org.jkiss.dbeaver.ext.postgresql.PostgreUtils.findDataType(DBCSession session, PostgreDataSource dataSource, DBSTypedObject type)",45,12,20,7,3
"org.jkiss.dbeaver.model.qm.QMUtils.getTransactionState(DBCExecutionContext executionContext)",37,12,13,7,1
"org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageInitialization.loadSelectableObject(DBRProgressMonitor monitor, DBSObjectContainer objectContainer, Combo objectCombo, DBCExecutionContextDefaults contextDefaults, boolean isCatalogs)",36,12,16,7,5
"org.jkiss.dbeaver.model.sql.parser.rules.SQLDelimiterRule.evaluate(TPCharacterScanner scanner)",34,12,8,7,1
"org.jkiss.dbeaver.model.data.DBDAttributeBinding.matches(@Nullable DBSAttributeBase attr, boolean searchByName)",22,12,14,7,2
"org.jkiss.dbeaver.ext.firebird.model.FireBirdProcedure.loadProcedureColumns(DBRProgressMonitor monitor)",131,12,26,6,1
"org.jkiss.dbeaver.ext.oracle.model.OracleUtils.getDDL(DBRProgressMonitor monitor, String objectType, OracleTableBase object, OracleDDLFormat ddlFormat, Map<String,Object> options)",108,12,44,6,5
"org.jkiss.dbeaver.ui.editors.object.struct.EditForeignKeyPage.createSchemaSelector(Composite tableGroup)",77,12,19,6,1
"org.jkiss.dbeaver.ext.mysql.model.MySQLDataSource.initSSL(DBRProgressMonitor monitor, Map<String,String> props, DBWHandlerConfiguration sslConfig)",61,12,55,6,3
"org.jkiss.dbeaver.ui.editors.sql.SQLEditorBase.scrollCursorToError(@NotNull DBRProgressMonitor monitor, @NotNull SQLQuery query, @NotNull Throwable error)",60,12,16,6,3
"org.jkiss.dbeaver.ui.gis.presentation.GeometryPresentation.refreshData(boolean refreshMetadata, boolean append, boolean keepState)",54,12,35,6,3
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDatabase.cacheDataTypes(DBRProgressMonitor monitor, boolean forceRefresh)",53,12,31,6,2
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDatabase.getDataType(@Nullable DBRProgressMonitor monitor, String typeName)",53,12,25,6,2
"org.jkiss.dbeaver.tools.transfer.stream.StreamTransferConsumer.fetchRow(DBCSession session, DBCResultSet resultSet)",52,12,12,6,2
"org.jkiss.dbeaver.ui.editors.EditorUtils.getInputDataSource(IEditorInput editorInput)",35,12,26,6,1
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation$ContentProvider.getCellState(Object colElement, Object rowElement, String cellText)",29,12,14,6,3
"org.jkiss.dbeaver.ui.controls.resultset.panel.references.ReferencesResultsContainer.refreshReferenceKeyList()",141,12,21,5,0
"org.jkiss.dbeaver.registry.DataSourceProviderDescriptor.loadTreeNode(DBXTreeNode parent, IConfigurationElement config, DBXTreeItem afterItem)",81,12,43,5,3
"org.jkiss.dbeaver.registry.maven.versioning.VersionRange.restrict(VersionRange restriction)",70,12,10,5,1
"org.jkiss.dbeaver.ui.actions.ModelPropertyTester.test(Object receiver, String property, Object[] args, Object expectedValue)",56,12,9,5,4
"org.jkiss.dbeaver.ui.actions.datasource.SelectActiveSchemaHandler.execute(ExecutionEvent event)",50,12,30,5,1
"org.jkiss.dbeaver.ui.controls.resultset.panel.valueviewer.ValueViewerPanel.refreshValue(boolean force)",49,12,13,5,1
"org.jkiss.dbeaver.model.impl.sql.AbstractSQLDialect.generateStoredProcedureCall(StringBuilder sql, DBSProcedure proc, Collection<? extends DBSProcedureParameter> parameters)",48,12,26,5,3
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCPreparedStatementImpl.getFormattedQuery()",48,12,13,5,0
"org.jkiss.dbeaver.model.virtual.DBVEntity.copyFrom(@NotNull DBVEntity src, @NotNull DBVModel targetModel)",47,12,18,5,2
"org.jkiss.dbeaver.tools.transfer.DataTransferSettings.setDataPipes(List<DataTransferPipe> dataPipes, boolean isExport)",36,12,19,5,2
"org.jkiss.dbeaver.ext.postgresql.model.PostgreProcedure.makeOverloadedName(PostgreSchema schema, String name, List<PostgreProcedureParameter> params, boolean quote, boolean showParamNames)",34,12,22,5,5
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetFilterPanel.ResultSetFilterPanel(ResultSetViewer rsv, Composite parent)",214,12,75,4,2
"org.jkiss.dbeaver.ext.postgresql.model.PostgreTrigger.PostgreTrigger(DBRProgressMonitor monitor, PostgreTableReal table, ResultSet dbResult)",64,12,26,4,3
"org.jkiss.dbeaver.debug.ui.internal.DebugUIInternals.createShortcutActions(Object[] selected, String mode, int accelerator)",60,12,36,4,3
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorObjectsDeleter.of(List<?> selection, IWorkbenchWindow window)",56,12,18,4,2
"org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart$ProgressControl$LoadVisualizer.completeLoading(EntityDiagram entityDiagram)",54,12,29,4,1
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetFilterPanel.getProposals(String contents, int position)",53,12,33,4,2
"org.jkiss.dbeaver.ext.postgresql.model.PostgreViewBase.getObjectDefinitionText(DBRProgressMonitor monitor, Map<String,Object> options)",51,12,30,4,2
"org.jkiss.dbeaver.ext.snowflake.model.SnowflakeExecutionContext.refreshDefaults(DBRProgressMonitor monitor, boolean useBootstrapSettings)",48,12,30,4,2
"org.jkiss.dbeaver.ext.vertica.model.VerticaStructureAssistant.findProjectionsByMask(JDBCSession session, GenericSchema parentSchema, @NotNull ObjectsSearchParams params, List<DBSObjectReference> result)",45,12,21,4,4
"org.jkiss.dbeaver.ext.vertica.model.VerticaStructureAssistant.findSequencesByMask(JDBCSession session, GenericSchema parentSchema, @NotNull ObjectsSearchParams params, List<DBSObjectReference> result)",45,12,21,4,4
"org.jkiss.dbeaver.ui.dialogs.driver.DriverTreeViewer.collectDrivers()",41,12,25,4,0
"org.jkiss.dbeaver.ui.actions.datasource.DataSourceAutoCommitHandler.updateElement(UIElement element, Map parameters)",39,12,21,4,2
"org.jkiss.dbeaver.ext.datavirtuality.views.DataVirtualityConnectionPage.loadSettings()",38,12,32,4,0
"org.jkiss.dbeaver.ui.data.registry.ValueManagerDescriptor.ValueManagerDescriptor(IConfigurationElement config)",38,12,21,4,1
"org.jkiss.dbeaver.data.console.ConsoleTextPresentation.getCellString(ResultSetModel model, DBDAttributeBinding attr, ResultSetRow row, DBDDisplayFormat displayFormat)",37,12,10,4,4
"org.jkiss.dbeaver.ui.editors.DatabaseEditorListener.nodeChanged(final DBNEvent event)",36,12,19,4,1
"org.jkiss.dbeaver.ext.hana.model.HANAStructureAssistant.findObjectsByMask(@NotNull DBRProgressMonitor monitor, @NotNull JDBCExecutionContext executionContext, @NotNull ObjectsSearchParams params)",33,12,26,4,3
"org.jkiss.dbeaver.ui.preferences.TargetPrefPage.setElement(IAdaptable element)",33,12,17,4,1
"org.jkiss.dbeaver.erd.model.DiagramObjectCollector.collectTables(DBRProgressMonitor monitor, Collection<? extends DBSObject> roots, Set<DBSEntity> tables, DiagramCollectSettings settings, boolean forceShowViews)",32,12,10,4,5
"org.jkiss.dbeaver.model.DBValueFormatting.getObjectImage(DBPObject object, boolean useDefault)",32,12,3,4,2
"org.jkiss.dbeaver.ui.controls.LocaleSelectorControl.onCountryChange(String defVariant)",30,12,28,4,1
"org.jkiss.dbeaver.utils.GeneralUtils.makeDisplayString(Object object)",30,12,13,4,1
"org.jkiss.dbeaver.tools.transfer.DTUtils.getTableName(DBPDataSource dataSource, DBPNamedObject source, boolean shortName)",30,12,11,4,3
"org.jkiss.dbeaver.ui.controls.CustomSashForm.layout(boolean changed)",240,12,10,3,1
