"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer",4060,267,204,871,94,50,26,90,86,0.8562248644867984
"org.jkiss.dbeaver.ui.editors.sql.SQLEditor",3624,215,138,668,103,52,28,103,96,0.7928835669781932
"org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid",3262,195,110,824,24,12,2,30,103,0.7371134020618557
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation",2140,125,111,588,77,33,1,69,37,0.8554925893635571
"org.jkiss.dbeaver.model.DBUtils",1864,132,131,534,40,29,493,48,2,0.9961832061068703
"org.jkiss.dbeaver.ui.UIUtils",1801,181,180,412,64,17,538,31,8,0.9805555555555555
"org.jkiss.dbeaver.ui.editors.binary.HexEditControl",1538,95,85,357,24,5,6,23,75,0.6243971631205674
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCResultSetImpl",1409,209,203,233,18,9,4,14,8,0.9831730769230769
"org.jkiss.dbeaver.registry.DataSourceDescriptor",1334,120,113,276,54,36,30,54,41,0.836441893830703
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema",1261,109,58,222,29,19,13,37,27,0.9687928669410151
"org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer",1191,29,6,366,37,22,2,34,10,0.8392857142857143
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCDatabaseMetaDataImpl",1138,179,178,183,8,3,2,6,2,0.9971910112359551
"org.jkiss.dbeaver.registry.driver.DriverDescriptor",1114,142,131,253,37,22,28,37,67,0.7730496453900709
"org.jkiss.dbeaver.ui.navigator.itemlist.ObjectListControl",1102,99,53,267,49,20,4,55,28,0.8622448979591837
"org.jkiss.dbeaver.model.sql.SQLUtils",1099,62,58,350,29,15,120,25,9,0.9562841530054645
"org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseConsumerPageMapping",1087,59,20,109,52,28,0,38,9,0.9310344827586207
"org.jkiss.dbeaver.ui.properties.PropertyTreeViewer",1079,76,51,222,50,19,16,42,28,0.82
"org.jkiss.dbeaver.ui.controls.querylog.QueryLogViewer",1050,74,43,157,62,26,5,45,48,0.7431506849315068
"org.jkiss.dbeaver.ui.editors.entity.EntityEditor",1044,54,40,206,64,36,15,58,20,0.8245283018867925
"org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart",1033,96,65,197,92,43,23,66,23,0.8842105263157894
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDatabase",1029,125,93,209,30,21,34,50,30,0.9239247311827957
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetFilterPanel",1018,67,41,150,56,27,1,44,41,0.7121212121212122
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCCallableStatementImpl",1014,127,119,177,31,19,1,31,4,0.9880952380952381
"org.jkiss.dbeaver.ext.ui.svg.GraphicsToGraphics2DAdaptor",962,89,70,152,18,0,1,17,32,0.8391335227272727
"org.jkiss.dbeaver.ext.postgresql.model.PostgreSchema",940,89,60,159,35,23,31,44,16,0.9147727272727273
"org.jkiss.dbeaver.registry.DataSourceSerializerModern",914,16,3,141,39,26,2,37,17,0.4666666666666667
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog",906,90,65,247,38,26,25,44,21,0.9443552701979668
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetPersister",901,50,33,206,27,16,1,28,33,0.6883116883116883
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDataType",894,67,61,212,29,18,22,30,40,0.7045454545454546
"org.jkiss.dbeaver.ui.editors.object.struct.EditForeignKeyPage",894,60,32,153,39,17,12,28,34,0.7402791625124625
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetModel",887,67,60,233,23,14,3,20,24,0.841540404040404
"org.jkiss.dbeaver.ui.controls.CSmartCombo",850,47,34,185,15,3,8,9,17,0.8260869565217391
"org.jkiss.dbeaver.ui.data.dialogs.ComplexObjectEditor",834,61,49,145,57,27,1,47,38,0.755701754385965
"org.jkiss.dbeaver.tasks.ui.view.DatabaseTasksTree",813,72,43,138,39,21,2,36,20,0.9330985915492958
"org.jkiss.dbeaver.ext.oracle.model.OracleDataSource",809,72,47,154,39,24,18,47,19,0.9503335804299481
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCResultSetCallable",808,204,200,205,19,9,1,14,1,1.0
"org.jkiss.dbeaver.model.navigator.DBNDatabaseNode",808,52,39,231,29,20,92,39,8,0.9338235294117647
"org.jkiss.dbeaver.ui.dialogs.driver.DriverEditDialog",799,55,29,118,43,25,6,33,34,0.6944444444444444
"org.jkiss.utils.CommonUtils",797,94,94,253,5,0,1064,38,2,0.9946236559139785
"org.jkiss.dbeaver.ext.mssql.model.SQLServerSchema",794,77,52,163,33,21,5,38,15,0.9482456140350877
"org.jkiss.dbeaver.ext.generic.model.GenericDataSource",771,94,81,201,37,22,41,40,16,0.9193548387096774
"org.jkiss.dbeaver.registry.DataSourceRegistry",760,66,52,167,34,21,15,29,22,0.8384615384615385
"org.jkiss.dbeaver.ext.exasol.model.ExasolDataSource",756,85,80,129,47,33,29,48,19,0.9091478696741854
"org.jkiss.dbeaver.ui.navigator.database.DatabaseNavigatorTree",746,65,40,159,54,24,18,38,22,0.8359375
"org.jkiss.dbeaver.model.exec.DBExecUtils",736,26,23,207,46,36,33,43,5,0.9440000000000001
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDialect",731,26,24,46,33,23,9,27,31,0.9587096774193549
"org.jkiss.dbeaver.ui.editors.sql.execute.SQLQueryJob",725,31,16,136,49,28,1,34,26,0.6397435897435898
"org.jkiss.dbeaver.ui.editors.binary.BinaryContent",724,54,36,206,10,1,3,21,17,0.8712541620421754
"org.jkiss.dbeaver.ui.controls.CustomSashForm",722,55,35,128,12,0,5,3,23,0.7962962962962963
"org.jkiss.dbeaver.ext.mysql.model.MySQLDataSource",716,64,52,147,46,31,16,45,16,0.8968253968253969
"org.jkiss.dbeaver.ui.controls.ViewerColumnController",716,53,36,129,27,7,15,20,28,0.7403846153846154
"org.jkiss.dbeaver.model.impl.jdbc.struct.JDBCTable",713,32,18,144,34,21,16,36,4,0.9516129032258065
"org.jkiss.dbeaver.registry.DataSourceSerializerLegacy",693,13,6,145,35,25,2,37,14,0.5297619047619048
"org.jkiss.dbeaver.model.impl.jdbc.JDBCUtils",691,56,54,130,23,14,344,27,2,1.0
"org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferConsumer",689,47,37,172,31,24,8,34,27,0.717391304347826
"org.jkiss.dbeaver.ui.editors.sql.SQLEditorBase",685,64,38,127,59,25,27,35,17,0.873015873015873
"org.jkiss.dbeaver.model.impl.edit.AbstractCommandContext",679,42,34,158,11,8,3,17,23,0.7730646871686108
"org.jkiss.dbeaver.model.impl.sql.AbstractSQLDialect",663,96,79,187,19,10,1,21,19,0.9412742382271468
"org.jkiss.dbeaver.ui.controls.folders.TabbedFolderList",662,49,35,109,16,3,1,8,33,0.6666666666666666
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCStatementImpl",653,72,61,98,23,15,6,23,8,0.9507042253521126
"org.jkiss.dbeaver.ext.generic.model.meta.GenericMetaModel",650,62,62,167,31,22,46,28,4,0.9795081967213115
"org.jkiss.dbeaver.ext.postgresql.debug.internal.impl.PostgreDebugSession",641,42,25,81,32,22,1,36,30,0.6544715447154472
"org.jkiss.dbeaver.ui.editors.entity.properties.ObjectPropertiesEditor",641,42,32,140,54,28,3,46,13,0.8874296435272045
"org.jkiss.dbeaver.ui.controls.resultset.plaintext.PlainTextPresentation",640,38,29,151,45,11,0,23,16,0.7972972972972973
"org.jkiss.dbeaver.utils.GeneralUtils",637,53,51,154,31,9,246,42,14,0.875
"org.jkiss.dbeaver.model.sql.parser.SQLScriptParser",637,15,10,197,22,12,3,15,4,0.8928571428571429
"org.jkiss.dbeaver.tools.transfer.stream.StreamTransferConsumer",636,44,35,148,42,26,5,44,33,0.627906976744186
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDataSource",632,53,40,129,44,27,26,44,9,0.938034188034188
"org.jkiss.dbeaver.ui.navigator.NavigatorUtils",630,39,35,122,54,34,74,42,2,0.9868421052631579
"org.jkiss.dbeaver.model.navigator.DBNModel",627,37,33,167,30,18,18,26,11,0.8686868686868687
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl",620,67,62,107,20,12,2,18,2,0.9924242424242424
"org.jkiss.dbeaver.data.console.ConsoleTextPresentation",618,37,29,151,43,10,0,22,15,0.8055555555555556
"org.jkiss.dbeaver.ui.editors.binary.dialogs.FindReplaceDialog",611,40,20,51,19,5,1,12,57,0.2932973459289248
"org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource",609,46,27,150,35,25,43,50,10,0.9022222222222223
"org.jkiss.dbeaver.ui.app.standalone.DBeaverApplication",607,46,26,109,49,23,3,43,28,0.7
"org.jkiss.dbeaver.model.virtual.DBVEntity",606,57,57,165,14,7,29,19,11,0.9107142857142857
"org.jkiss.dbeaver.registry.BaseWorkspaceImpl",595,49,36,135,27,20,3,35,15,0.8638888888888889
"org.jkiss.dbeaver.ext.mysql.model.MySQLTable",591,59,54,187,26,17,7,27,23,0.856071964017991
"org.jkiss.dbeaver.ext.postgresql.model.PostgreProcedure",588,53,51,139,26,15,14,29,32,0.7019230769230769
"org.jkiss.dbeaver.ui.controls.resultset.colors.ColorSettingsDialog",583,29,15,69,44,21,1,26,28,0.5178571428571429
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCPreparedStatementImpl",579,65,63,91,24,13,4,23,4,0.9765625
"org.jkiss.dbeaver.tools.transfer.DataTransferSettings",578,42,39,153,27,23,6,32,21,0.7874564459930313
"org.jkiss.dbeaver.ext.postgresql.PostgreUtils",578,24,24,167,34,24,36,36,2,0.9782608695652174
"org.jkiss.dbeaver.ui.controls.resultset.FilterSettingsDialog",574,40,15,70,32,12,1,26,22,0.7307692307692307
"org.jkiss.dbeaver.ui.controls.resultset.valuefilter.GenericFilterValueEdit",568,41,31,109,39,18,2,27,21,0.75
"org.jkiss.dbeaver.ext.oracle.model.OracleDataType",567,53,46,103,28,14,7,24,24,0.7908653846153846
"org.jkiss.dbeaver.ui.gis.panel.GISLeafletViewer",558,28,22,80,52,26,2,40,21,0.6296296296296297
"org.jkiss.dbeaver.ext.db2.model.DB2DataSource",557,70,63,92,47,35,30,44,31,0.8546049555867228
"org.jkiss.dbeaver.registry.ProjectMetadata",555,41,33,109,29,13,3,25,21,0.7535714285714286
"org.jkiss.dbeaver.ui.views.session.SessionManagerViewer",552,44,26,83,59,29,6,42,23,0.7674418604651163
"org.jkiss.dbeaver.ext.db2.model.DB2Schema",549,74,74,97,34,17,41,25,36,0.878234398782344
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCVoidStatementImpl",547,99,99,99,7,0,1,1,1,1.010204081632653
"org.jkiss.dbeaver.erd.ui.model.DiagramLoader",547,9,3,115,34,15,4,27,15,0.21666666666666667
"org.jkiss.dbeaver.ui.controls.ProgressPageControl",543,42,29,90,32,6,13,14,25,0.7073170731707317
"org.jkiss.dbeaver.ext.oracle.model.OracleSchedulerJob",525,66,63,93,24,15,3,22,62,0.5359801488833748
"org.jkiss.dbeaver.registry.DataSourceProviderRegistry",520,34,30,108,28,16,20,25,12,0.8409090909090909
"org.jkiss.dbeaver.model.sql.SQLConstants",516,0,0,1,0,0,37,0,65,0.0
"org.jkiss.dbeaver.registry.DataSourceProviderDescriptor",514,37,29,108,25,17,13,22,19,0.7646198830409356
"org.jkiss.dbeaver.runtime.properties.ObjectPropertyDescriptor",509,45,40,137,27,11,10,20,9,0.9090909090909091
"org.jkiss.dbeaver.ui.controls.resultset.handler.ResultSetHandlerMain",505,7,3,117,54,21,10,29,39,0.0
"org.jkiss.dbeaver.ext.greenplum.model.GreenplumExternalTableTest",504,39,37,39,19,7,0,8,17,0.804953560371517
"org.jkiss.dbeaver.ui.editors.data.preferences.PrefPageDataFormat",504,38,13,70,34,22,1,30,21,0.7734877734877735
"org.jkiss.utils.xml.XMLBuilder",503,42,37,100,5,1,23,10,13,0.8536585365853658
"org.jkiss.utils.IntKeyMap",501,67,63,167,1,0,6,18,19,0.8923444976076554
"org.jkiss.utils.LongKeyMap",500,67,63,167,1,0,6,19,19,0.8907496012759171
"org.jkiss.dbeaver.registry.maven.MavenArtifactVersion",498,33,22,118,19,11,2,17,17,0.7775735294117647
"org.jkiss.dbeaver.tools.transfer.ui.wizard.DataTransferWizard",497,34,22,129,45,29,14,44,9,0.8787878787878788
"org.jkiss.dbeaver.ui.editors.sql.indent.SQLCommentAutoIndentStrategy",493,24,5,112,7,4,1,10,6,0.8913043478260869
"org.jkiss.dbeaver.tasks.nativetool.AbstractNativeToolHandler",490,36,15,80,31,25,3,45,22,0.851948051948052
"org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageGeneral",489,29,23,66,37,22,3,28,21,0.6428571428571429
"org.jkiss.dbeaver.ui.search.metadata.SearchMetadataPage",488,20,12,72,35,17,0,24,25,0.3684210526315789
"org.jkiss.dbeaver.ext.oracle.model.plan.OraclePlanNode",481,57,52,104,17,9,1,17,41,0.6506968641114982
"org.jkiss.dbeaver.ext.postgresql.ui.editors.PostgresRolePrivilegesEditor",481,25,20,66,54,28,0,37,10,0.85
"org.jkiss.dbeaver.model.sql.format.tokenized.IndentFormatter",481,15,2,169,15,10,1,19,16,0.4642857142857143
"org.jkiss.dbeaver.ext.generic.views.GenericConnectionPage",480,18,9,81,33,19,0,26,19,0.4984520123839009
"org.jkiss.dbeaver.model.impl.sql.edit.SQLObjectEditor",477,71,50,110,24,15,57,36,12,0.9357142857142857
"org.jkiss.dbeaver.ext.postgresql.model.PostgreStructureAssistant",474,36,12,78,28,20,1,25,13,0.8285714285714286
"org.jkiss.dbeaver.ui.editors.text.FileRefDocumentProvider",467,34,12,86,25,9,3,22,7,0.9090909090909091
"org.jkiss.utils.CommonUtilsTest",464,65,65,65,6,0,0,10,3,0.984375
"org.jkiss.dbeaver.utils.ContentUtils",464,33,33,88,27,13,64,26,3,0.96875
"org.jkiss.dbeaver.ui.navigator.database.StatisticsNavigatorNodeRenderer",463,20,8,107,39,22,1,30,13,0.7975708502024291
"org.jkiss.dbeaver.core.CoreMessages",458,1,0,1,1,0,54,1,449,0.0
"org.jkiss.dbeaver.ui.data.editors.ContentPanelEditor",457,34,20,85,43,28,3,42,11,0.8650137741046833
"org.jkiss.dbeaver.ext.db2.DB2Utils",454,29,28,63,26,19,18,24,15,0.9904761904761905
"org.jkiss.dbeaver.ui.dashboard.registry.DashboardDescriptor",453,61,61,101,22,14,10,23,31,0.7618279569892473
"org.jkiss.dbeaver.erd.ui.editor.ERDGraphicalViewer",448,22,15,89,50,21,4,32,10,0.8333333333333334
"org.jkiss.dbeaver.ext.mssql.model.generic.SQLServerMetaModel",444,34,30,77,33,21,1,27,3,0.9898989898989898
"org.jkiss.dbeaver.ui.editors.content.ContentEditor",444,31,26,70,38,19,4,26,15,0.7799999999999999
"org.jkiss.dbeaver.ui.data.editors.ReferenceValueEditor",443,24,18,66,42,21,3,30,16,0.6739130434782609
"org.jkiss.dbeaver.ext.postgresql.model.PostgreRole",435,52,47,69,26,18,8,36,21,0.8263305322128851
"org.jkiss.dbeaver.tasks.ui.view.DatabaseTasksView",435,44,31,88,41,12,1,29,16,0.8517441860465116
"org.jkiss.dbeaver.ext.generic.model.GenericTableBase",427,38,35,98,32,21,44,28,8,0.9054054054054054
"org.jkiss.dbeaver.ui.net.ssh.SSHTunnelConfiguratorUI",426,19,13,44,36,24,0,29,21,0.4444444444444444
"org.jkiss.dbeaver.ui.controls.resultset.panel.references.ReferencesResultsContainer",421,26,20,57,34,18,1,27,20,0.6579999999999999
"org.jkiss.dbeaver.ext.oracle.model.OracleUtils",421,16,14,76,36,23,6,28,1,1.0
"org.jkiss.dbeaver.ext.wmi.model.WMIClass",420,34,31,83,21,11,1,23,17,0.7593582887700535
"org.jkiss.dbeaver.ext.mssql.model.SQLServerDataSource",418,47,35,95,33,21,6,36,7,0.9627329192546583
"org.jkiss.dbeaver.data.office.export.DataExporterXLSX",414,11,6,63,27,17,1,24,36,0.0
"org.jkiss.dbeaver.ext.postgresql.model.PostgreAttribute",412,45,42,85,27,17,4,29,16,0.8295454545454546
"org.jkiss.dbeaver.ui.editors.object.struct.AttributesSelectorPage",412,40,18,73,39,18,3,27,8,0.9262820512820513
"org.jkiss.dbeaver.ui.editors.sql.indent.SQLAutoIndentStrategy",412,15,2,124,16,10,1,17,9,0.7142857142857143
"org.jkiss.dbeaver.ui.preferences.PrefPageDatabaseEditors",410,19,15,48,38,11,1,17,32,0.14756944444444445
"org.jkiss.dbeaver.model.navigator.DBNResource",409,38,29,105,17,10,31,18,7,0.9459459459459459
"org.jkiss.dbeaver.tools.transfer.ui.pages.stream.StreamConsumerPageSettings",409,27,15,30,44,27,0,32,18,0.6773504273504274
"org.jkiss.dbeaver.ext.generic.model.GenericObjectContainer",408,43,36,98,22,12,5,18,12,0.8690476190476191
"org.jkiss.dbeaver.tools.project.ProjectImportWizard",408,11,5,72,36,21,0,33,2,1.05
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerExtensionBase",406,62,61,106,18,11,10,16,5,0.9868852459016394
"org.jkiss.dbeaver.ext.oracle.model.OracleSQLDialect",406,21,20,46,19,14,2,16,9,0.961111111111111
"org.jkiss.dbeaver.model.virtual.DBVUtils",404,25,24,89,28,18,22,25,2,1.0208333333333333
"org.jkiss.dbeaver.ui.editors.EditorUtils",404,20,17,100,36,9,28,14,10,0.7631578947368421
"org.jkiss.dbeaver.ui.notifications.AbstractNotificationPopup",402,32,15,56,20,4,1,8,21,0.7388632872503841
"org.jkiss.dbeaver.model.impl.jdbc.data.JDBCCollection",400,25,22,82,26,15,12,27,5,0.9166666666666666
"org.jkiss.dbeaver.ext.vertica.model.VerticaStructureAssistant",400,20,11,88,21,15,1,19,1,1.0
"org.jkiss.dbeaver.ext.oracle.model.OracleTable",399,50,45,98,25,15,5,25,31,0.7346938775510204
"org.jkiss.dbeaver.debug.core.model.DatabaseDebugTarget",398,45,40,70,20,7,1,12,14,0.8522727272727273
"org.jkiss.dbeaver.ext.mssql.model.SQLServerDataType",396,44,44,128,20,8,4,18,18,0.8023255813953488
"org.jkiss.dbeaver.ext.exasol.model.ExasolTable",395,40,37,58,28,19,11,26,18,0.8846153846153846
"org.jkiss.dbeaver.ui.navigator.itemlist.NodeListControl",394,40,25,78,44,32,2,46,8,0.9166666666666666
"org.jkiss.dbeaver.ui.controls.resultset.panel.aggregate.AggregateColumnsPanel",392,33,27,81,27,12,0,20,14,0.796875
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.Spreadsheet",392,25,22,95,26,5,4,11,9,0.8333333333333334
"org.jkiss.dbeaver.ui.gis.panel.TilesManagementDialog",391,22,8,39,22,10,0,14,15,0.6666666666666666
"org.jkiss.dbeaver.ext.db2.model.DB2Table",390,47,47,56,38,26,10,31,32,0.6963315217391305
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorObjectsDeleter",388,22,12,72,33,16,2,21,16,0.7202380952380952
"org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCNumberValueHandler",388,12,8,110,18,10,6,20,4,0.8636363636363636
"org.jkiss.dbeaver.ui.navigator.itemlist.ItemListControl",386,24,15,72,41,26,2,32,10,0.8434782608695651
"org.jkiss.dbeaver.ui.dialogs.driver.DriverSelectViewer",385,38,23,60,37,13,5,17,22,0.7162162162162162
"org.jkiss.dbeaver.registry.DataSourceUtils",385,4,3,105,20,14,4,20,24,0.0
"org.jkiss.dbeaver.ui.dashboard.control.DashboardList",384,44,31,50,21,7,2,15,13,0.8604651162790697
"org.jkiss.dbeaver.ui.controls.CustomFormEditor",383,19,12,93,31,16,2,25,9,0.8333333333333334
"org.jkiss.dbeaver.core.DBeaverUI",382,39,32,60,55,32,2,34,5,0.9473684210526315
"org.jkiss.dbeaver.ext.db2.editors.DB2StructureAssistant",382,17,8,69,22,12,1,19,9,0.7916666666666667
"org.jkiss.dbeaver.ext.mysql.model.MySQLStructureAssistant",380,31,13,57,21,15,1,19,8,0.8833333333333333
"org.jkiss.dbeaver.model.impl.jdbc.JDBCExecutionContext",378,27,22,61,20,11,30,18,10,0.8653846153846154
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerObjectCreateNew",378,13,5,104,46,20,2,29,3,1.0
"org.jkiss.dbeaver.ui.controls.finder.AdvancedList",374,38,28,75,19,7,1,10,12,0.8513513513513513
"org.jkiss.dbeaver.ui.editors.data.VirtualStructureEditor",374,28,15,44,33,20,0,25,11,0.8148148148148148
"org.jkiss.dbeaver.model.impl.jdbc.cache.JDBCCompositeCache",374,23,13,90,19,14,15,29,11,0.8429752066115703
"org.jkiss.dbeaver.ui.ActionUtils",374,22,22,81,33,4,53,9,1,1.0
"org.jkiss.dbeaver.ext.postgresql.model.PostgreTable",373,33,31,80,31,20,6,25,10,0.890625
"org.jkiss.dbeaver.ext.db2.model.plan.DB2PlanObject",372,50,50,52,7,5,3,9,41,0.5918367346938775
"org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageSettings",372,30,28,92,36,17,2,26,9,0.8697318007662835
"org.jkiss.dbeaver.ui.controls.ObjectViewerRenderer",372,30,19,86,24,10,5,17,10,0.8448275862068966
"org.jkiss.dbeaver.ui.editors.sql.SQLOccurrencesHighlighter",372,30,22,96,23,4,1,16,16,0.7478448275862069
"org.jkiss.dbeaver.ext.mysql.ui.editors.MySQLUserEditorPrivileges",371,24,16,50,26,13,0,18,11,0.782608695652174
"org.jkiss.dbeaver.model.sql.SQLQuery",368,46,41,101,28,7,32,11,20,0.7922222222222222
"org.jkiss.dbeaver.ui.editors.binary.BinaryEditor",368,27,24,61,35,11,1,19,5,0.9230769230769231
"org.jkiss.dbeaver.ext.oracle.model.OracleStructureAssistant",366,17,11,71,20,13,1,20,2,0.96875
"org.jkiss.dbeaver.ui.editors.sql.util.SQLSymbolInserter",365,21,16,72,21,4,1,15,18,0.6027777777777777
"org.jkiss.dbeaver.model.DBValueFormatting",364,15,14,99,25,12,46,25,3,0.9285714285714286
"org.jkiss.dbeaver.ui.app.standalone.DBeaverSettingsImporter",364,13,7,57,19,7,1,15,12,0.5416666666666666
"org.jkiss.dbeaver.ext.oracle.ui.views.OracleConnectionPage",362,22,12,51,28,15,0,22,13,0.7142857142857143
"org.jkiss.dbeaver.ui.editors.binary.pref.HexPreferencesManager",362,22,9,61,16,4,1,15,27,0.38095238095238093
"org.jkiss.dbeaver.ui.editors.acl.ObjectACLEditor",361,26,18,42,49,22,0,32,10,0.84
"org.jkiss.dbeaver.ui.editors.sql.plan.ExplainPlanViewer",360,28,22,60,50,30,2,42,22,0.6111111111111112
"org.jkiss.dbeaver.model.connection.DBPConnectionConfiguration",359,61,60,82,14,11,112,16,31,0.75
"org.jkiss.dbeaver.tasks.ui.sql.script.SQLScriptTaskPageSettings",359,22,18,33,30,17,1,20,9,0.8941798941798942
"org.jkiss.dbeaver.ui.app.standalone.update.VersionUpdateDialog",358,28,16,52,34,16,1,22,10,0.8333333333333334
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetFindReplaceTarget",357,25,22,89,29,9,1,18,8,0.875
"org.jkiss.dbeaver.ext.mssql.model.SQLServerTableColumn",356,49,46,70,29,18,5,33,17,0.8688725490196078
"org.jkiss.dbeaver.ext.db2.model.DB2TableColumn",356,41,41,54,27,15,11,21,31,0.625
"org.jkiss.dbeaver.ui.app.standalone.ApplicationWorkbenchWindowAdvisor",355,31,25,58,36,12,1,18,7,0.9333333333333333
"org.jkiss.dbeaver.ext.hana.model.HANAMetaModel",355,28,28,53,29,17,0,22,3,1.0
"org.jkiss.dbeaver.tools.transfer.ui.wizard.DataTransferTaskConfigurator",353,18,14,25,51,38,0,42,6,0.8529411764705882
"org.jkiss.dbeaver.ui.dashboard.view.DashboardUpdater",352,15,7,76,19,13,1,22,6,0.9047619047619048
"org.jkiss.dbeaver.runtime.properties.PropertySourceAbstract",351,37,35,71,19,13,4,22,13,0.8782051282051282
"org.jkiss.dbeaver.ui.editors.sql.SQLEditorNested",351,33,25,50,51,21,2,32,8,0.890625
"org.jkiss.dbeaver.model.navigator.DBNProjectDatabases",351,27,24,85,13,7,2,11,4,1.0096153846153846
"org.jkiss.dbeaver.ext.mysql.model.MySQLTableColumn",349,38,36,62,27,20,10,30,11,0.8648648648648649
"org.jkiss.dbeaver.registry.maven.MavenArtifact",349,26,19,65,20,11,1,19,16,0.7175
"org.jkiss.dbeaver.ext.db2.model.DB2DataType",348,33,32,56,29,15,1,19,27,0.5972222222222222
"org.jkiss.dbeaver.ui.editors.content.ContentEditorInput",347,29,24,64,40,30,3,37,8,0.875
"org.jkiss.dbeaver.registry.task.TaskManagerImpl",347,22,18,62,25,12,2,23,11,0.8138528138528138
"org.jkiss.dbeaver.ext.db2.DB2Constants",347,0,0,1,3,2,44,2,59,0.0
"org.jkiss.dbeaver.tasks.ui.wizard.TaskConfigurationWizardPageTask",346,19,13,73,30,17,2,21,15,0.6444444444444444
"org.jkiss.dbeaver.ui.dialogs.driver.DriverManagerDialog",345,25,11,56,31,17,1,22,14,0.7291666666666666
"org.jkiss.dbeaver.ext.hana.model.HANAStructureAssistant",344,19,11,71,22,14,1,18,1,1.0
"org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferProducer",344,18,17,72,35,25,10,30,5,0.8823529411764706
"org.jkiss.dbeaver.tools.transfer.stream.exporter.DataExporterSQL",343,13,8,80,24,16,0,21,37,0.0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCSQLDialect",342,29,23,68,18,10,8,20,17,0.7142857142857143
"org.jkiss.dbeaver.model.data.json.JSONUtils",339,36,36,92,18,6,33,27,2,0.9857142857142858
"org.jkiss.dbeaver.ext.exasol.ui.ExasolUIConstants",339,0,0,1,4,1,3,3,6,0.0
"org.jkiss.dbeaver.ext.postgresql.model.impls.redshift.PostgreServerRedshift",334,43,41,70,27,14,2,21,8,0.9523809523809523
"org.jkiss.dbeaver.ext.oracle.model.OracleTablespace",334,37,30,45,24,17,1,23,30,0.6194444444444445
"org.jkiss.dbeaver.model.struct.DBStructUtils",334,11,9,107,21,17,14,24,1,1.0
"org.jkiss.dbeaver.ext.mssql.model.SQLServerDatabase",331,46,41,81,27,18,6,30,11,0.9656565656565657
"org.jkiss.dbeaver.ui.dialogs.driver.DriverTreeViewer",331,26,24,75,23,13,2,27,9,0.8844444444444445
"org.jkiss.dbeaver.tools.transfer.database.DatabaseConsumerSettings",330,38,37,76,22,15,5,19,17,0.794912559618442
"org.jkiss.dbeaver.model.struct.cache.AbstractObjectCache",330,33,23,87,13,5,8,20,9,0.8854166666666666
"org.jkiss.dbeaver.ui.preferences.PrefPageConnectionTypes",330,19,13,34,31,13,1,18,13,0.7136752136752137
"org.jkiss.dbeaver.ui.data.dialogs.ValueViewDialog",328,41,29,53,32,16,4,26,11,0.875
"org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseConsumerPageLoadSettings",328,24,18,36,30,18,0,20,12,0.7608695652173914
"org.jkiss.dbeaver.utils.RuntimeUtils",327,29,25,78,25,11,145,27,8,0.875
"org.jkiss.dbeaver.ui.dialogs.MultiPageWizardDialog",326,27,17,67,30,6,2,10,7,0.8846153846153846
"org.jkiss.dbeaver.erd.ui.export.ERDExportGraphML",326,7,1,26,26,10,0,15,2,0.9166666666666666
"org.jkiss.dbeaver.ext.firebird.model.FireBirdMetaModel",325,26,24,58,26,15,0,20,2,1.02
