"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseRestoreHandler",106,12,4,25,15,9,0,13,0,0.0
"org.jkiss.dbeaver.ui.notifications.AnimationUtil",106,12,8,22,6,0,0,3,9,0.6363636363636364
"org.jkiss.dbeaver.ui.editors.xml.XMLSourceViewerConfiguration",106,10,8,10,20,2,1,4,7,1.0
"org.jkiss.dbeaver.registry.maven.versioning.Restriction",106,9,9,34,0,0,5,2,5,0.875
"org.jkiss.dbeaver.ui.dialogs.driver.EditMavenArtifactDialog",106,9,4,9,16,7,2,9,7,0.625
"org.jkiss.dbeaver.ui.dashboard.view.DashboardAddDialog",106,7,4,8,22,9,1,10,3,0.8333333333333334
"org.jkiss.dbeaver.model.impl.data.transformers.UUIDAttributeTransformer",106,4,3,13,18,10,0,15,6,0.5
"org.jkiss.dbeaver.tools.compare.simple.CompareObjectsSettings",105,20,19,26,3,2,3,2,10,0.7631578947368421
"org.jkiss.dbeaver.ext.greenplum.model.PostgreServerGreenplum",105,20,19,26,6,5,3,7,0,0.0
"org.jkiss.dbeaver.model.runtime.DBRShellCommand",105,19,19,20,1,1,6,1,10,0.75
"org.jkiss.dbeaver.ui.editors.sql.syntax.SQLEditorCompletionContext",105,17,16,17,16,12,1,14,1,1.0
"org.jkiss.dbeaver.model.impl.struct.AbstractTrigger",105,16,13,16,10,6,1,10,5,0.8666666666666667
"org.jkiss.dbeaver.ui.dialogs.AbstractPopupPanel",105,13,4,24,12,1,6,4,3,0.9166666666666666
"org.jkiss.dbeaver.tools.transfer.stream.StreamMappingContainer",105,10,10,21,16,8,1,12,2,0.9444444444444444
"org.jkiss.dbeaver.ext.mssql.ui.editors.SQLServerSessionEditor",105,10,5,6,23,13,0,16,2,0.9444444444444444
"org.jkiss.dbeaver.ext.postgresql.edit.PostgreSchemaManager",105,10,5,13,22,18,1,22,1,1.0
"org.jkiss.dbeaver.ext.exasol.manager.ExasolTableManager",105,9,8,16,17,11,0,16,8,0.90625
"org.jkiss.dbeaver.ext.mysql.model.MySQLTableForeignKey",105,9,9,18,14,9,4,12,1,1.0
"org.jkiss.dbeaver.ui.dashboard.control.DashboardChartComposite",105,9,6,16,23,12,2,14,2,0.9375
"org.jkiss.dbeaver.ui.editors.sql.scripts.ScriptsHandlerImpl",105,9,9,16,25,14,1,18,1,1.0
"org.jkiss.dbeaver.ui.dialogs.connection.ConnectionTestDialog",105,7,2,8,19,8,1,10,4,0.75
"org.jkiss.dbeaver.ext.mysql.ui.config.MySQLIndexConfigurator",105,6,2,17,17,13,0,17,2,0.9
"org.jkiss.dbeaver.ext.hana.model.data.HANAGeometryValueHandler",105,5,3,19,17,13,1,15,1,1.25
"org.jkiss.dbeaver.model.impl.data.ExecuteBatchWithMultipleInsert",105,5,2,18,13,9,1,15,2,0.875
"org.jkiss.dbeaver.model.qm.meta.QMMTransactionSavepointInfo",104,16,15,20,3,1,3,1,7,0.8
"org.jkiss.dbeaver.model.impl.AbstractSession",104,15,15,23,10,8,3,11,7,0.7857142857142857
"org.jkiss.dbeaver.ui.preferences.PrefPageTransactions",104,8,1,8,10,6,0,7,6,0.6428571428571429
"org.jkiss.dbeaver.erd.ui.directedit.ExtendedDirectEditManager",104,7,2,14,16,1,1,4,5,0.6666666666666666
"org.jkiss.dbeaver.ext.generic.edit.GenericTableManager",104,6,3,22,28,21,7,23,1,1.0
"org.jkiss.dbeaver.ext.db2.model.cache.DB2TableReferenceCache",104,5,1,9,14,9,0,10,2,0.875
"org.jkiss.dbeaver.ext.db2.model.cache.DB2TableUniqueKeyCache",104,5,1,8,16,9,0,11,2,0.875
"org.jkiss.dbeaver.ext.hive.model.HiveSQLDialect",104,5,5,6,5,4,1,5,5,0.5
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode",103,17,16,17,6,4,1,5,13,0.625
"org.jkiss.dbeaver.erd.ui.editor.tools.HandToolEntry",103,13,3,22,12,2,2,5,3,0.9166666666666666
"org.jkiss.utils.io.BOMInputStream",103,11,9,24,8,0,2,1,9,0.6
"org.jkiss.dbeaver.ext.oracle.model.OracleGrantee",103,11,5,13,17,12,2,16,4,1.0
"org.jkiss.dbeaver.ext.postgresql.edit.PostgreConstraintManager",103,10,4,14,26,20,0,24,0,0.0
"org.jkiss.dbeaver.ui.controls.txn.TransactionInfoDialog",103,9,3,18,21,12,2,14,5,0.775
"org.jkiss.dbeaver.tools.transfer.ui.wizard.DataTransferPageSettings",103,7,4,19,12,6,1,9,2,0.9166666666666666
"org.jkiss.dbeaver.ext.hana.model.HANATableColumn",103,6,5,19,16,12,3,16,6,0.5
"org.jkiss.dbeaver.erd.ui.command.EntityAddCommand",103,5,4,19,20,14,1,16,3,0.75
"org.jkiss.dbeaver.model.connection.DBPDriver",102,52,51,52,12,8,105,10,0,0.0
"org.jkiss.dbeaver.ui.controls.resultset.view.EmptyPresentation",102,14,14,17,21,7,2,8,1,1.0
